step;4 layer RNN;RNN;4 layer IRNN;IRNN;LSTM;Fast Weights;Autoconceptor
500;0.4310937523841858;0.42945313453674316;0.16164062917232513;0.4317968785762787;0.43351563811302185;0.40226563811302185;0.811718761920929
1000;0.4268749952316284;0.4341406226158142;0.2006250023841858;0.4312500059604645;0.43492186069488525;0.45140624046325684;0.9420312643051147
1500;0.4235156178474426;0.43171873688697815;0.3157031238079071;0.4339843690395355;0.42601561546325684;0.486328125;0.9696875214576721
2000;0.4246875047683716;0.427734375;0.38234373927116394;0.4313281178474426;0.43070313334465027;0.6009374856948853;0.9818750023841858
2500;0.42250001430511475;0.4281249940395355;0.4067968726158142;0.4291406273841858;0.4344531297683716;0.6918749809265137;0.9870312213897705
3000;0.42429688572883606;0.42750000953674316;0.4284375011920929;0.43156251311302185;0.4263281226158142;0.7118750214576721;0.9900781512260437
3500;0.4275781214237213;0.4260937571525574;0.42109376192092896;0.43070313334465027;0.4292968809604645;0.7361719012260437;0.9925000071525574
4000;0.4278906285762787;0.42578125;0.4249218702316284;0.4302343726158142;0.42601561546325684;0.8064844012260437;0.9943749904632568
4500;0.42906248569488525;0.42601561546325684;0.42867186665534973;0.43140625953674316;0.43703123927116394;0.9489843845367432;0.9953906536102295
5000;0.42765626311302185;0.4252343773841858;0.4291406273841858;0.43046873807907104;0.43070313334465027;0.9784374833106995;0.9960156083106995
5500;0.4263281226158142;0.42500001192092896;0.4280468821525574;0.4337500035762787;0.4360937476158142;0.9852343797683716;0.9967968463897705
6000;0.4273437559604645;0.42726561427116394;0.4282812476158142;0.4332812428474426;0.4320312440395355;0.9899218678474426;0.9969531297683716
6500;0.42921873927116394;0.42992186546325684;0.4239843785762787;0.42992186546325684;0.43171873688697815;0.9932031035423279;0.9975781440734863
7000;0.42867186665534973;0.4275781214237213;0.4254687428474426;0.43281251192092896;0.4288281202316284;0.9944531321525574;0.9978906512260437
7500;0.42820313572883606;0.4268749952316284;0.423828125;0.4312500059604645;0.43367186188697815;0.9934375286102295;0.998046875
